Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Regen Ratio,Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2025-06-01,26005,1,04:21:20,04:29 PM,08:50 PM,5.35,0.8500000000000001,7.1,6.4,30.1,48.7,36.42787487500027,8.36354270089292,88.4,78.0,28.9,0.3724226804123711,1.336888307844218,11.18112244897959,65.14344783651454
2025-06-01,26005,2,02:10:40,09:43 PM,11:54 PM,2.449999999999999,0.0,4.25,11.3,14.5,31.9,19.34017237499938,8.88069139668339,77.6,70.8,14.0,0.3050108932461874,1.649416529567049,14.64795918367347,55.12464166743165
2025-06-01,26006,1,07:41:24,04:16 PM,11:58 PM,6.1,1.0,14.5,14.85,67.10000000000001,102.5,67.80648900399683,8.817488817164737,90.4,68.0,68.3,0.3998829039812646,1.511654732542754,13.32899869960988,61.49820431170282
2025-06-01,26011,1,00:25:08,12:01 AM,12:26 AM,0.2999999999999998,0.0,0.8000000000000007,2.350000000000001,2.500000000000007,5.799999999999997,4.271925624998403,10.19823093500945,72.0,70.8,4.399999999999999,0.4313725490196079,1.357701540040779,13.84615384615384,52.91599979400636
2025-06-01,26014,1,04:14:19,08:49 AM,01:03 PM,3.35,0.0,13.15,0.0,35.5,53.8,36.81374626600154,8.685332365004625,91.6,77.2,29.7,0.355688622754491,1.461410626651863,12.69283701422111,61.17800002811447
2025-06-01,26014,2,03:05:57,01:30 PM,04:36 PM,2.5,0.1,5.9,0.0,25.6,34.10000000000001,28.0393663750001,9.047388988975563,77.2,68.0,23.7,0.4100346020761245,1.216147310318809,11.00295778435063,66.13695100320355
2025-06-02,26003,1,04:16:20,06:55 AM,11:11 AM,4.8,0.0,8.2,21.35,50.5,82.0,44.89343337899481,10.50821587544742,91.6,72.4,45.3,0.3558523173605656,1.82654775605483,19.19375812743823,57.37668268091539
2025-06-02,26003,2,03:22:03,03:43 PM,07:05 PM,3.600000000000001,2.7,4.800000000000001,0.0,36.5,46.10000000000001,34.563761874997,10.26392334818025,66.0,52.4,33.10000000000001,0.4179292929292929,1.333766855781638,13.68968077208612,72.09063343765716
2025-06-02,26005,1,01:36:30,07:01 PM,08:37 PM,3.3,2.6,4.0,6.549999999999999,19.7,35.7,16.93235974999698,10.52789207253698,92.0,84.4,17.3,0.3264150943396227,2.108388938523845,22.19689119170984,66.90830959831328
2025-06-02,26005,2,03:03:56,08:54 PM,11:58 PM,4.65,1.7,6.65,13.7,26.2,52.0,24.85483999999997,8.107776730699518,84.0,72.8,26.2,0.3350383631713555,2.092147847260335,16.96266763320044,57.89710893112689
2025-06-02,26006,1,00:16:05,12:13 AM,12:29 AM,0.2999999999999998,0.0,0.5,0.4500000000000011,3.099999999999994,4.399999999999991,4.038911499999813,15.06744186528428,68.0,66.8,3.5,0.4430379746835448,1.089402429342707,16.41450777202069,53.18600082397461
2025-06-02,26006,2,05:05:36,05:54 AM,11:00 AM,4.25,0.0,10.3,23.55,46.2,82.7,48.00090975000057,9.424262385471316,91.2,68.0,44.0,0.3472770323599053,1.722884012630594,16.2369109947644,54.63562000149592
2025-06-02,26006,3,02:39:50,11:31 AM,02:11 PM,1.899999999999999,1.9,5.35,0.0,20.60000000000001,30.10000000000001,24.38881175000279,9.155341220021901,67.6,60.8,23.10000000000001,0.4342105263157895,1.234172468447405,11.29927007299271,68.95940030813233
2025-06-02,26008,1,02:38:51,03:39 PM,06:18 PM,2.25,3.5,4.550000000000001,0.0,34.60000000000001,44.7,37.90363100000104,14.31676336166234,91.2,81.6,32.8,0.4232258064516128,1.179306541898288,16.88385269121813,72.46015039839843
2025-06-02,26008,2,05:15:39,06:42 PM,11:58 PM,3.15,0.5,8.35,8.5,32.79999999999999,52.1,43.4959699999963,8.26788594962705,81.6,70.0,32.1,0.3812351543942993,1.197812119145853,9.903373990178997,61.6128574316839
2025-06-02,26009,1,02:18:43,08:09 AM,10:27 AM,2.45,0.0,4.549999999999999,0.0,26.2,33.1,26.25665297600062,11.35695671195509,66.8,56.8,20.9,0.387037037037037,1.260632877703583,14.31695302174697,58.75059049318143
2025-06-02,26010,1,06:19:59,06:50 AM,01:10 PM,5.95,0.4,9.0,6.0,55.8,78.10000000000001,60.42770837900025,9.541635605263428,88.8,69.2,55.0,0.4132231404958677,1.292453447186179,12.3321198298171,60.56500287622136
2025-06-02,26010,2,07:38:21,01:42 PM,09:21 PM,7.199999999999999,0.0,9.25,0.0,69.2,88.60000000000001,67.6517676250005,8.85590936511406,68.8,42.8,62.7,0.4144084600132187,1.309647967975018,11.59812370459256,70.01643321081085
2025-06-02,26011,1,04:06:17,08:16 AM,12:22 PM,3.45,0.0,6.65,3.9,50.50000000000001,63.2,45.20474025000294,11.01286221154568,91.6,78.0,41.9,0.3986679352997146,1.398083467584926,15.39690058875279,62.36468312333277
2025-06-02,26011,2,04:44:29,01:52 PM,06:36 PM,4.0,6.35,8.8,0.0,50.8,72.8,52.97187774999475,11.17222800984129,76.0,60.0,49.6,0.4052287581699346,1.374314128405751,15.35415079969535,72.20192221654938
2025-06-02,26011,3,01:25:27,07:24 PM,08:50 PM,1.15,0.2000000000000002,2.300000000000001,0.0,11.90000000000001,15.69999999999999,14.29153300000326,10.03501439438497,59.2,56.0,12.90000000000001,0.4510489510489513,1.098552548561194,11.02399063779988,65.58527933165091
