Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2024-06-01,26008,1,Depot,06:43:04,63.6,93.6,0.05,0.0,6.8,0.0,139.9
2024-06-01,26013,1,Depot,04:42:26,45.2,93.6,0.05,0.0,5.35,0.0,210.4
2024-06-01,26014,1,Depot,06:24:58,42.8,93.6,0.0,0.0,11.2,0.0,188.6
2024-06-02,26003,1,Depot,06:51:05,65.2,93.6,0.0,0.0,7.35,0.0,125.9
2024-06-02,26004,1,Depot,03:37:07,60.4,93.6,0.05,0.0,3.6,0.0,156.2
2024-06-02,26004,2,Depot,03:18:00,93.6,93.6,0.09999999999999999,0.0,2.95,0.0,1.400000000000006
2024-06-02,26008,1,Depot,08:37:38,93.6,93.6,0.05,0.05,8.05,0.0,1.900000000000006
2024-06-02,26008,2,Depot,06:57:08,72.4,93.6,0.05,0.1,7.100000000000001,0.0,107.9
2024-06-02,26009,1,Depot,06:47:04,70.0,93.6,0.0,0.0,9.65,0.0,111.2
2024-06-02,26010,1,Depot,06:37:02,76.0,93.6,0.05,0.0,8.15,0.0,80.1
2024-06-02,26011,1,Depot,01:39:30,79.6,92.0,0.0,0.95,2.05,0.0,61.7
2024-06-02,26014,1,Depot,08:39:38,93.6,93.6,0.0,0.0,13.55,0.0,2.199999999999989
2024-06-02,26014,2,Depot,06:11:54,42.0,93.6,0.0,0.0,10.05,0.0,193.9
2024-06-03,26003,1,Depot,02:21:43,32.8,89.2,0.0,0.0,3.35,0.0,259.0
2024-06-03,26004,1,Depot,05:35:43,93.6,93.6,0.1,0.0,5.0,0.0,1.699999999999989
2024-06-03,26004,2,Depot,02:31:46,71.2,92.8,0.05,0.0,2.35,0.0,106.5
2024-06-03,26005,1,Depot,01:23:26,54.8,76.8,0.0,0.0,1.45,0.0,103.6
2024-06-03,26005,2,Depot,00:33:11,77.6,88.0,0.0,0.0,0.8,0.0,50.3
2024-06-03,26006,1,Depot,02:53:54,59.2,93.2,0.15,0.05,4.35,0.0,154.4
2024-06-03,26008,1,Depot,05:39:44,93.6,93.6,0.0,0.0,5.749999999999999,0.0,2.5
2024-06-03,26008,2,Depot,00:34:10,78.0,84.4,0.0,0.0,0.85,0.0,29.7
2024-06-03,26009,1,Depot,02:40:50,51.2,93.2,0.0,0.0,4.25,0.0,200.1
2024-06-03,26010,1,Depot,00:54:17,68.4,88.8,0.0,0.0,1.0,0.0,79.60000000000001
2024-06-03,26010,2,Depot,02:11:40,79.6,93.6,0.05,0.0,2.05,0.0,64.4
2024-06-03,26011,1,Depot,04:07:15,74.8,93.2,0.0,0.0,3.9,0.0,81.6
2024-06-03,26011,2,Depot,00:27:08,73.2,84.0,0.0,0.0,0.5,0.0,51.9
2024-06-03,26011,3,Depot,02:39:49,61.2,93.6,0.0,0.0,2.85,0.0,145.9
2024-06-03,26013,1,Depot,00:25:08,73.6,84.0,0.05,0.95,0.85,0.0,50.7
2024-06-03,26013,2,Depot,02:31:47,67.6,93.6,0.0,0.35,2.65,0.0,121.3
2024-06-03,26014,1,Depot,05:38:43,93.6,93.6,0.0,0.0,8.549999999999999,0.0,0.8000000000000114
2024-06-03,26014,2,Depot,02:40:49,50.4,92.4,0.0,0.0,4.4,0.0,160.2
2024-06-03,26017,1,Depot,03:08:59,70.4,93.2,0.0,0.0,3.4,0.0,98.6
2024-06-04,26003,1,Depot,01:58:37,53.6,90.0,0.0,0.95,3.2,0.0,173.2
2024-06-04,26004,1,Depot,01:37:31,71.2,92.8,0.05,0.7,2.0,0.0,106.7
2024-06-04,26005,1,Depot,00:11:04,72.8,77.6,0.05,0.85,0.4,0.0,22.9
2024-06-04,26005,2,Depot,02:08:39,58.0,90.8,0.0,1.3,2.9,0.0,158.0
2024-06-04,26006,1,Depot,05:45:48,93.2,93.2,0.4,0.0,7.949999999999999,0.0,0.6999999999999886
2024-06-04,26006,2,Depot,03:30:05,70.8,92.8,0.15,0.0,5.45,0.0,96.89999999999999
2024-06-04,26008,1,Depot,04:20:21,38.0,93.6,0.0,0.55,5.0,0.0,236.2
2024-06-04,26009,1,Depot,05:26:40,93.2,93.6,0.0,0.0,7.0,0.0,5.0
2024-06-04,26009,2,Depot,04:08:17,72.0,93.6,0.0,0.0,5.8,0.0,101.1
2024-06-04,26010,1,Depot,01:09:21,93.6,93.6,0.0,0.0,1.05,0.0,0.2999999999999972
2024-06-04,26010,2,Depot,04:12:17,93.6,93.6,0.0,0.0,3.8,0.0,1.200000000000003
2024-06-04,26010,3,Depot,00:48:15,69.2,87.6,0.0,0.0,0.8,0.0,91.30000000000001
2024-06-04,26010,4,Depot,02:45:50,72.4,93.2,0.0,0.2,2.7,0.0,94.6
2024-06-04,26011,1,Depot,05:21:38,93.6,93.6,0.0,0.0,5.050000000000001,0.0,1.299999999999983
2024-06-04,26011,2,Depot,02:36:48,54.8,91.6,0.0,0.0,2.8,0.0,176.3
2024-06-04,26013,1,Depot,05:47:47,69.6,93.6,0.05,1.25,5.95,0.0,108.2
2024-06-04,26014,1,Depot,02:09:39,49.2,91.2,0.0,0.8,4.15,0.0,159.0
2024-06-05,26003,1,Depot,01:51:34,49.2,89.6,0.0,0.0,2.55,0.0,153.3
2024-06-05,26004,1,Depot,01:16:23,72.4,92.0,0.05,0.0,1.25,0.0,95.2
2024-06-05,26005,1,Depot,01:41:31,58.4,88.8,0.0,0.0,1.7,0.0,147.1
2024-06-05,26006,1,Depot,03:05:57,66.4,93.6,0.2,0.0,4.65,0.0,127.8
2024-06-05,26008,1,Depot,00:49:16,93.6,93.6,0.0,0.0,0.75,0.0,1.299999999999983
2024-06-05,26008,2,Depot,01:03:19,60.8,88.0,0.05,0.4,1.7,0.0,130.7
2024-06-05,26009,1,Depot,02:28:45,80.0,93.6,0.0,0.0,3.3,0.0,60.4
2024-06-05,26009,2,Depot,01:54:36,73.6,91.6,0.0,0.0,2.85,0.0,90.3
2024-06-05,26010,1,Depot,02:23:45,93.6,93.6,0.05,0.0,2.15,0.0,0.7999999999999972
2024-06-05,26010,2,Depot,00:10:03,71.2,75.6,0.0,0.0,0.2,0.0,20.9
2024-06-05,26010,3,Depot,00:53:16,63.6,86.8,0.0,0.0,0.9,0.0,109.7
2024-06-05,26011,1,Depot,02:14:41,91.6,93.6,0.0,0.0,2.05,0.0,1.199999999999989
2024-06-05,26011,2,Depot,00:05:02,57.6,58.4,0.0,0.05,0.1,0.0,4.1
2024-06-05,26011,3,Depot,02:37:48,58.8,92.0,0.0,0.0,2.75,0.0,160.4
2024-06-05,26013,1,Depot,01:39:31,68.0,91.2,0.0,0.0,1.65,0.0,114.0
2024-06-05,26014,1,Depot,01:41:32,53.6,90.8,0.0,0.0,2.95,0.0,141.2
2024-06-05,26018,1,Depot,00:54:18,91.6,92.0,0.0,0.0,0.7999999999999998,0.0,0.8000000000000114
2024-06-06,26003,1,Depot,03:29:04,48.4,92.4,0.0,0.0,5.9,2.0,206.9
2024-06-06,26004,1,Depot,00:21:07,64.8,74.0,0.0,0.0,0.4,0.0,44.3
2024-06-06,26004,2,Depot,01:23:25,74.8,90.8,0.05,0.0,1.25,0.0,78.6
2024-06-06,26005,1,Depot,02:22:43,54.4,91.2,0.0,0.0,2.65,0.0,174.7
2024-06-06,26006,1,Depot,04:14:19,55.2,93.6,0.25,0.0,6.25,0.0,180.1
2024-06-06,26008,1,Depot,00:27:08,72.0,84.0,0.0,0.0,0.55,0.0,56.8
2024-06-06,26008,2,Depot,02:13:41,84.0,93.6,0.0,0.0,2.4,0.0,41.3
2024-06-06,26009,1,Depot,03:10:59,49.6,88.8,0.0,0.0,4.95,0.0,188.1
2024-06-06,26010,1,Depot,02:50:53,41.2,88.4,0.0,0.05,3.25,0.0,222.1
2024-06-06,26011,1,Depot,01:11:22,92.0,93.6,0.0,0.0,1.05,0.0,2.799999999999983
2024-06-06,26013,1,Depot,02:41:49,53.2,92.0,0.0,0.0,3.45,0.0,186.3
2024-06-06,26014,1,Depot,03:29:04,50.4,92.0,0.0,0.0,5.6,0.0,158.6
2024-06-07,26003,1,Depot,01:08:21,46.0,76.8,0.0,0.0,1.5,0.0,143.1
2024-06-07,26004,1,Depot,00:11:31,90.4,92.4,0.0,0.0,0.15,0.0,4.699999999999999
2024-06-07,26005,1,Depot,05:58:49,91.2,93.6,0.0,0.0,5.65,0.0,2.699999999999989
2024-06-07,26006,1,Depot,05:44:46,93.6,93.6,0.35,0.0,7.7,0.0,1.599999999999994
2024-06-07,26006,2,Depot,04:42:28,58.0,93.6,0.3,0.0,6.95,0.0,167.5
2024-06-07,26009,1,Depot,02:16:41,57.2,90.0,0.0,0.0,3.9,0.0,156.0
2024-06-07,26010,1,Depot,05:57:49,88.4,93.6,0.05,0.0,5.45,0.0,3.400000000000006
2024-06-07,26011,1,Depot,01:57:39,55.2,90.0,0.0,0.0,2.35,0.0,166.9
2024-06-07,26013,1,Depot,00:11:04,92.4,92.8,0.0,0.0,0.1499999999999999,0.0,1.200000000000017
2024-06-07,26013,2,Depot,05:37:43,92.8,93.6,0.05,0.0,5.2,0.0,4.200000000000017
2024-06-07,26014,1,Depot,01:41:31,57.6,91.2,0.0,0.0,3.0,0.0,129.7
2024-06-08,26003,1,Depot,00:10:03,78.4,82.8,0.0,0.0,0.25,0.0,21.19999999999999
2024-06-08,26005,1,Depot,07:22:16,66.4,93.6,0.0,0.0,7.75,0.0,123.5
2024-06-08,26008,1,Depot,06:59:08,27.6,93.2,0.05,0.0,8.5,0.0,286.4
2024-06-08,26009,1,Depot,06:50:08,36.8,93.6,0.0,0.0,9.75,0.0,214.0
2024-06-09,26003,1,Depot,06:40:02,48.8,93.2,0.0,0.0,7.55,0.0,163.5
2024-06-09,26004,1,Depot,04:43:26,41.2,93.6,0.1,0.0,5.100000000000001,0.0,233.0
2024-06-09,26005,1,Depot,08:15:32,93.6,93.6,0.05,0.0,7.850000000000001,0.0,1.400000000000006
2024-06-09,26006,1,Depot,06:05:52,58.8,93.2,0.35,0.0,6.2,0.0,162.9
2024-06-09,26008,1,Depot,08:11:31,93.2,92.4,0.05,0.0,8.399999999999999,0.0,1.399999999999977
2024-06-09,26008,2,Depot,03:15:00,51.6,92.8,0.05,0.0,4.15,0.0,176.7
2024-06-09,26009,1,Depot,08:13:36,93.6,93.6,0.0,0.0,10.85,0.0,3.0
2024-06-09,26013,1,Depot,04:41:26,70.0,93.6,0.05,0.0,5.15,0.0,107.4
2024-06-09,26014,1,Depot,02:35:48,45.2,90.0,0.0,0.0,4.55,0.0,173.0
2024-06-09,26014,2,Depot,03:54:11,77.2,93.2,0.0,0.0,6.3,0.0,52.7
2024-06-10,26003,1,Depot,05:23:39,93.2,93.2,0.05,0.0,5.300000000000001,0.0,0.09999999999999432
2024-06-10,26004,1,Depot,02:00:37,78.4,93.6,0.05,0.0,2.0,0.0,70.5
2024-06-10,26006,1,Depot,05:17:38,72.8,93.6,0.25,0.0,5.35,0.0,101.9
2024-06-10,26008,1,Depot,05:34:41,92.8,93.6,0.0,0.0,6.2,0.0,5.299999999999983
2024-06-10,26008,2,Depot,02:47:52,60.4,91.2,0.0,0.05,2.7,0.0,148.2
2024-06-10,26011,1,Depot,02:42:50,56.0,92.4,0.0,0.0,3.0,0.0,170.2
2024-06-10,26013,1,Depot,02:41:50,70.8,93.2,0.0,0.0,2.8,0.0,99.7
2024-06-10,26018,1,Depot,04:08:16,24.4,90.4,0.0,0.0,4.85,0.0,241.3
2024-06-11,26003,1,Depot,01:05:20,26.0,61.6,0.0,0.0,1.45,0.0,129.6
2024-06-11,26003,2,Depot,03:36:06,36.8,93.2,0.0,0.0,4.15,0.0,190.3
2024-06-11,26004,1,Depot,01:15:24,60.4,88.4,0.0,0.0,1.25,0.0,136.2
2024-06-11,26004,2,Depot,00:29:09,74.8,80.0,0.0,0.0,0.5,0.0,25.9
2024-06-11,26005,1,Depot,04:42:27,50.4,93.6,0.0,0.0,5.45,0.0,193.5
2024-06-11,26006,1,Depot,00:56:17,80.0,92.4,0.05,0.0,0.95,0.0,61.6
2024-06-11,26006,2,Depot,01:20:25,80.8,92.4,0.15,0.25,1.75,0.0,56.9
2024-06-11,26008,1,Depot,06:02:51,91.2,93.6,0.05,0.0,5.55,0.0,6.600000000000023
2024-06-11,26008,2,Depot,02:29:46,66.0,91.6,0.0,0.0,2.65,0.0,122.8
2024-06-11,26009,1,Depot,01:47:33,42.0,86.8,0.0,0.0,3.05,0.0,209.0
2024-06-11,26009,2,Depot,00:30:09,84.0,90.8,0.0,0.0,0.85,0.0,33.8
2024-06-11,26009,3,Depot,02:24:45,69.2,93.6,0.0,0.0,3.75,0.0,95.2
2024-06-11,26010,1,Depot,00:38:11,36.0,53.2,0.05,0.0,0.95,0.0,76.3
2024-06-11,26010,2,Depot,03:56:12,28.0,93.6,0.0,0.0,4.6,0.0,226.5
2024-06-11,26010,3,Depot,00:48:15,43.6,69.6,0.0,0.0,0.95,0.0,23.7
2024-06-11,26010,4,Depot,02:28:51,70.0,93.6,0.05,0.0,2.6,0.0,58.0
2024-06-11,26011,1,Depot,06:03:51,93.2,93.2,0.05,0.0,5.55,0.0,1.0
2024-06-11,26011,2,Depot,02:40:49,57.2,92.0,0.0,0.0,3.15,0.0,166.2
2024-06-11,26013,1,Depot,00:21:06,53.2,62.8,0.05,0.0,0.4,0.0,43.8
2024-06-11,26013,2,Depot,03:52:12,43.6,93.6,0.05,0.1,5.3,0.0,217.2
2024-06-11,26014,1,Depot,02:03:39,52.4,87.2,0.05,0.0,3.95,4.05,133.5
2024-06-11,26014,2,Depot,04:51:30,42.4,92.8,0.0,0.0,7.8,0.0,169.5
2024-06-11,26018,1,Depot,06:01:51,90.4,92.4,0.0,0.0,5.399999999999999,0.0,2.800000000000011
2024-06-11,26018,2,Depot,04:20:19,48.8,92.0,0.0,0.0,4.85,0.0,153.5
