Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2024-01-06 00:00:00,26002,1,Depot,11:37:43,93.6,93.6,0.05,0,12.95,0,3.699999999999989
2024-01-06 00:00:00,26009,1,Depot,11:38:34,93.6,93.6,0,0,18.75,0,287.2
2024-01-06 00:00:00,26010,1,Depot,08:20:33,93.6,93.6,0.6499999999999999,0,9.3,0,3.5
2024-01-06 00:00:00,26012,1,Depot,11:03:22,93.6,93.6,1.55,0,12.75,0,2.399999999999977
2024-01-06 00:00:00,26013,1,Depot,11:26:30,91.6,94,0.09999999999999999,0,12.65,0,4
2024-01-06 00:00:00,26016,1,Depot,08:26:35,33.6,94,0,0,10.3,0,268.9
2024-01-06 00:00:00,26017,1,Depot,08:15:31,70,93.6,0.05,0,10.25,0,103.8
2024-01-07 00:00:00,26002,1,Depot,01:09:23,27.2,41.6,0,0,3.2,15.05,25.1
2024-01-07 00:00:00,26005,1,Depot,06:33:01,29.2,93.2,0.05,0,7.55,0,299.9
2024-01-07 00:00:00,26008,1,Depot,13:24:27,62.4,94,0.05,0,16.9,0,136.1
2024-01-07 00:00:00,26010,1,Depot,12:35:51,28,93.6,0.45,0,14.1,0,278.6
2024-01-07 00:00:00,26012,1,Depot,11:55:40,62,93.6,1.25,0,14.15,0,141.2
2024-01-07 00:00:00,26013,1,Depot,07:39:20,87.6,93.6,0.1,0,13.65,4.649999999999999,28
2024-01-07 00:00:00,26014,1,Depot,06:19:56,32.8,86.8,0,0,12.15,5.9,215.2
2024-01-07 00:00:00,26016,1,Depot,12:28:49,34.4,93.6,0.05,0,14.5,0,256.9
2024-01-07 00:00:00,26017,1,Depot,13:01:59,31.2,93.6,0,0,21.85,9.75,265.5
2024-01-08 00:00:00,26002,1,Depot,06:04:59,93.6,93.6,0,0,16.45,3.25,3.399999999999991
2024-01-08 00:00:00,26002,2,Depot,00:51:17,50,70,0,0,0.95,0,91.4
2024-01-08 00:00:00,26003,1,Depot,06:18:56,90,93.2,0.1,0,17.45,3.55,11.3
2024-01-08 00:00:00,26003,2,Depot,02:59:55,75.2,91.6,0.05,0,5.55,1.8,70.9
2024-01-08 00:00:00,26005,1,Depot,06:42:03,93.2,93.6,0,0,7.299999999999999,0,2.699999999999989
2024-01-08 00:00:00,26005,2,Depot,02:51:53,93.2,93.6,0,0,3.7,0,0.8999999999999999
2024-01-08 00:00:00,26006,1,Depot,06:25:58,92.4,93.6,0.85,0,7.850000000000001,0,5.5
2024-01-08 00:00:00,26006,2,Depot,01:44:33,49.6,92,0.15,0,2,0,196.3
2024-01-08 00:00:00,26006,3,Depot,01:23:26,92,93.6,0.15,0,1.45,0,11
2024-01-08 00:00:00,26008,1,Depot,06:05:51,94,94,0.09999999999999999,0,6.850000000000001,0,3.900000000000006
2024-01-08 00:00:00,26008,2,Depot,02:02:37,59.2,92.8,0,0,3,0,161.7
2024-01-08 00:00:00,26009,1,Depot,03:26:04,67.6,94,0,0,6.65,1.1,120.2
2024-01-08 00:00:00,26009,2,Depot,01:07:20,81.2,93.2,0,0,2.05,0,58.40000000000001
2024-01-08 00:00:00,26009,3,Depot,03:05:56,90.4,94,0,0,4.75,0,17.6
2024-01-08 00:00:00,26010,1,Depot,06:01:50,93.6,93.6,0.35,0,6.499999999999998,0,4
2024-01-08 00:00:00,26010,2,Depot,02:42:50,54.8,92,0.2,0,3,0,179.7
2024-01-08 00:00:00,26011,1,Depot,06:24:57,86.8,92.4,0,0,11.4,3.1,24.8
2024-01-08 00:00:00,26011,2,Depot,07:53:25,61.6,92.8,0.05,0,8.55,0,136.3
2024-01-08 00:00:00,26012,1,Depot,06:01:51,93.6,93.6,0.7999999999999998,0,6.449999999999999,0,2.5
2024-01-08 00:00:00,26013,1,Depot,05:59:51,93.6,93.6,0.04999999999999999,0,10.55,6,3.400000000000002
2024-01-08 00:00:00,26013,2,Depot,02:02:37,56.4,94,0.05,0,2.15,0,178.8
2024-01-08 00:00:00,26013,3,Depot,00:43:14,80.8,89.6,0,0,1.05,1.45,44.2
2024-01-08 00:00:00,26014,1,Depot,02:36:47,38.8,85.6,0,0,5.350000000000001,14.7,173.4
2024-01-08 00:00:00,26014,2,Depot,03:02:57,49.6,92.4,0,0,5.5,3.25,47.1
2024-01-08 00:00:00,26014,3,Depot,01:00:19,80.8,92,0,0,1.7,0,50.7
2024-01-08 00:00:00,26014,4,Depot,01:31:29,67.6,91.6,0,0,2.95,12.95,92.80000000000001
2024-01-08 00:00:00,26016,1,Depot,06:02:50,93.6,93.6,0.05,0,6.700000000000001,0,4.599999999999994
2024-01-08 00:00:00,26016,2,Depot,03:10:59,38.8,91.6,0,0,3.65,0,244.4
2024-01-08 00:00:00,26017,1,Depot,06:00:50,93.6,93.6,0,0,10.25,2.550000000000001,5.199999999999989
2024-01-08 00:00:00,26017,2,Depot,04:30:23,42.4,93.6,0,0,6.05,17.75,240.9
2024-01-09 00:00:00,26003,1,Depot,04:22:20,46.8,91.6,0,0,4.55,0,192.6
2024-01-09 00:00:00,26005,1,Depot,06:36:01,93.6,93.6,0,0,7.4,0,2.6
2024-01-09 00:00:00,26005,2,Depot,04:05:15,56,93.6,0,0,4.3,0,182.9
2024-01-09 00:00:00,26005,3,Depot,02:20:44,90,93.6,0,0,2.45,0,21.1
2024-01-09 00:00:00,26006,1,Depot,02:25:45,60.4,92,0.4,0,4.2,2.6,153.7
2024-01-09 00:00:00,26006,2,Depot,03:10:59,83.2,93.6,0.45,0,3.9,0,45.2
2024-01-09 00:00:00,26008,1,Depot,01:55:35,64.8,92,0,0,2.9,0,109.5
2024-01-09 00:00:00,26009,1,Depot,08:07:29,94,93.6,0.05,0,12.55,0,4.600000000000001
2024-01-09 00:00:00,26009,2,Depot,01:32:28,63.6,90,0.05,0,2.75,0.25,127.7
2024-01-09 00:00:00,26010,1,Depot,00:23:07,92,92.8,0,0,0.4000000000000004,0,2.800000000000011
