Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Regen Ratio,Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2025-11-01,26005,1,02:54:14,04:06 PM,07:00 PM,3.95,0.0,7.85,22.7,31.9,65.69999999999999,32.00309198399918,11.02077014945447,90.0,76.0,26.0,0.2835332606324973,2.052926636990216,22.62483259996173,55.88620689655166
2025-11-01,26005,2,03:09:59,07:50 PM,11:00 PM,2.600000000000001,0.0,7.999999999999998,28.6,24.5,64.60000000000001,26.79662437500519,8.46283426177899,74.4,60.0,20.6,0.2417840375586854,2.410751410175987,20.40178963066936,43.56736842105274
2025-11-01,26006,1,07:29:20,08:57 AM,04:27 PM,7.8,0.0,16.6,24.3,65.5,112.7,60.97202937499969,8.141665643545952,89.2,64.8,62.3,0.356,1.848388534140054,15.04896142433234,55.91026785714292
2025-11-01,26008,1,04:24:23,08:59 AM,01:23 PM,3.35,0.0,10.0,21.0,37.8,72.0,37.59108138699958,8.531040345029218,90.0,74.4,42.1,0.3689745836985101,1.915347932100201,16.3399104835151,55.89772727272739
2025-11-01,26008,2,03:33:07,01:45 PM,05:18 PM,2.7,0.0,5.700000000000001,4.800000000000004,29.3,42.8,33.01033437499427,9.293595350745239,74.0,64.8,36.9,0.4629861982434129,1.296563661361198,12.04973801517166,59.40563380281686
2025-11-01,26009,1,00:13:30,12:14 AM,12:28 AM,0.1500000000000004,0.0,0.3499999999999996,0.1499999999999986,1.700000000000003,2.5,2.174798499996541,9.665771111095738,58.0,57.6,1.700000000000003,0.4047619047619052,1.149531784210802,11.11111111111111,50.0
2025-11-01,26009,2,01:27:27,09:01 AM,10:28 AM,1.35,0.0,3.55,15.1,17.8,37.3,15.14591812500294,10.39171054888709,90.8,82.0,17.4,0.3180987202925046,2.462709734210502,25.59176672384219,52.16818181818184
2025-11-01,26009,3,01:50:37,10:38 AM,12:29 PM,1.7,0.0,3.35,7.199999999999999,17.0,29.49999999999999,17.32071662500675,9.394994703936163,82.0,74.8,22.8,0.4359464627151053,1.703162787006712,16.00120536386921,55.38392857142848
2025-11-01,26009,4,02:05:50,01:07 PM,03:13 PM,2.0,0.0,3.6,6.800000000000001,17.19999999999999,30.2,17.39838800000143,8.295920105960947,74.4,67.2,22.90000000000001,0.4312617702448212,1.735792994155408,14.4,56.9165354330708
2025-11-01,26009,5,01:41:32,03:35 PM,05:16 PM,1.35,0.4,3.25,0.25,12.69999999999999,18.40000000000001,13.90317612500075,8.215928110637346,67.2,62.8,17.0,0.4802259887005649,1.323438603853478,10.87327642810243,59.59999999999997
2025-11-01,26010,1,03:04:58,08:54 AM,11:59 AM,3.2,0.0,8.4,12.9,28.2,53.6,26.48531750400434,8.591380700524025,85.6,73.6,22.4,0.2947368421052631,2.023762788265467,17.38691656154262,53.92108108108092
2025-11-01,26010,2,03:45:10,12:44 PM,04:29 PM,3.7,0.0,8.65,3.649999999999999,29.4,46.8,31.61224962500273,8.423693460400433,73.2,60.0,27.5,0.3701211305518169,1.480438771525611,12.47076239822354,57.6879999999999
2025-11-01,26011,1,01:27:29,12:30 PM,01:57 PM,1.5,0.0,2.0,0.0,11.1,14.4,11.34002075000171,7.777495656316663,82.8,79.6,12.1,0.4566037735849057,1.26983894628216,9.876166888931225,54.37727272727277
2025-11-01,26011,2,02:58:14,04:22 PM,07:20 PM,2.95,0.0,5.8,0.0,33.5,41.2,26.71895299999596,8.994597980174442,79.2,70.0,28.6,0.4097421203438396,1.541976588678689,13.86945951000561,52.66966292134837
2025-11-01,26011,3,02:32:48,07:59 PM,10:32 PM,2.350000000000001,0.0,4.8,13.95,25.0,46.7,22.68004150000343,8.905775458116528,66.0,55.2,22.7,0.3270893371757925,2.059079124700585,18.33769633507853,41.92941176470587
2025-11-01,26012,1,01:08:23,10:34 AM,11:42 AM,0.95,0.0,2.45,8.2,12.5,23.8,9.86550736699428,8.656063007842896,91.6,86.0,11.1,0.3180515759312321,2.41244561629182,20.88228125761638,56.49565217391307
2025-11-01,26012,2,00:32:36,12:04 PM,12:37 PM,0.5499999999999998,0.0,1.3,2.700000000000001,6.699999999999999,11.1,5.903024500003085,10.86446226994433,85.2,82.8,7.699999999999999,0.4095744680851064,1.880391992273486,20.42944785276073,56.72352941176473
2025-11-01,26012,3,00:55:01,01:04 PM,01:59 PM,0.7999999999999998,0.0,1.750000000000001,1.099999999999998,18.5,21.6,14.29153300000326,15.58604023023681,82.0,77.2,15.4,0.4162162162162163,1.511384398020498,23.55649803089973,58.32499999999997
2025-11-02,26005,1,07:47:25,04:10 PM,11:58 PM,7.100000000000001,0.0,14.7,41.9,54.0,117.1,59.72928737499751,7.667157587804994,86.8,61.6,46.5,0.2842298288508557,1.960512256990658,15.03155642717062,49.16566523605147
2025-11-02,26009,1,01:40:26,07:17 PM,08:57 PM,1.25,0.0,3.9,1.05,21.9,28.6,16.31098874999589,9.744367656817987,92.0,85.2,22.2,0.437007874015748,1.75341914818053,17.0859608363757,48.1287128712871
2025-11-02,26012,1,07:25:17,09:00 AM,04:26 PM,6.9,0.0,17.25,29.3,69.60000000000001,122.2,59.10791637499642,7.964535649585923,74.4,46.0,60.8,0.3322404371584699,2.067404968646341,16.46592057491485,59.62818791946278
2025-11-02,26013,1,04:09:18,09:16 AM,01:26 PM,2.8,0.0,7.9,27.2,71.39999999999999,114.1,62.13709999999992,14.95477737665461,79.2,53.2,48.7,0.2991400491400492,1.836262072095417,27.46089049338147,58.66024096385529
2025-11-02,26013,2,03:06:56,01:59 PM,05:06 PM,2.85,0.0,5.15,13.25,49.7,71.4,46.21508949600684,14.83365925335455,53.2,36.0,36.8,0.3401109057301294,1.54494994554039,22.91726105563481,60.21283422459902
2025-11-02,26014,1,03:22:03,10:51 AM,02:14 PM,3.15,0.0,6.25,0.0,41.4,56.6,34.95149737899919,10.37906380965084,92.8,78.0,33.9,0.374585635359116,1.619386986092574,16.80772086117298,60.96039603960402
2025-11-03,26003,1,04:42:27,06:48 AM,11:30 AM,7.1,0.0,14.45,58.5,52.8,138.6,49.70967999999993,10.55967711099308,75.2,41.6,51.9,0.2724409448818897,2.78818934259887,29.44237918215613,52.38723404255335
2025-11-03,26003,2,04:51:30,02:10 PM,07:02 PM,5.5,0.0,8.75,34.8,48.40000000000001,96.89999999999999,50.09803687500244,10.31177431389415,72.8,48.8,53.0,0.3535690460306872,1.934207526769387,19.9451114922813,55.43724137931015
2025-11-03,26003,3,01:43:32,07:34 PM,09:18 PM,1.5,0.0,3.300000000000001,13.7,11.60000000000001,29.80000000000001,13.51481924999825,7.832155392787141,48.8,41.2,13.39999999999999,0.310185185185185,2.204986944239292,17.26980038634901,53.15000000000012
2025-11-03,26005,1,01:16:24,10:16 AM,11:32 AM,1.1,0.0,2.5,9.149999999999999,13.5,25.5,13.04879100000107,10.24774162303749,82.4,76.8,11.7,0.314516129032258,1.954204033155095,20.0261780104712,55.72727272727278
2025-11-03,26005,2,06:38:03,12:21 PM,06:59 PM,5.1,0.0,9.65,15.6,48.90000000000001,77.7,49.78735137500189,7.504688060545443,76.8,59.6,44.3,0.3631147540983606,1.560637347722277,11.71209647029268,54.52040302266975
2025-11-03,26006,1,03:09:58,07:59 AM,11:09 AM,4.05,0.0,6.750000000000001,25.05,30.8,65.2,26.09758200000215,8.242787787331789,82.4,68.4,27.2,0.2943722943722943,2.498315744347297,20.59308650640463,52.3115789473684
2025-11-03,26006,2,04:00:14,11:41 AM,03:41 PM,5.300000000000001,0.0,7.200000000000001,16.1,37.39999999999999,64.5,34.87444737499754,8.710143648535533,68.4,53.2,40.5,0.3857142857142857,1.849491672411183,16.10933814347162,55.6174999999998
2025-11-03,26008,1,04:30:27,06:58 AM,11:29 AM,4.050000000000001,0.0,9.55,16.25,58.7,88.5,52.11749262500234,11.56239437049414,85.6,65.6,42.1,0.3223583460949464,1.698086295838873,19.63394342762063,52.2600000000001
2025-11-03,26008,2,02:04:41,12:17 PM,02:21 PM,1.8,0.0,3.35,0.0,27.5,33.1,27.57333812499564,13.26881663547444,65.6,58.0,24.8,0.4283246977547495,1.200434994484558,15.92835182462237,56.59519999999989
2025-11-03,26008,3,03:03:57,05:21 PM,08:25 PM,2.75,0.0,5.45,19.45,28.1,56.2,29.12676562500565,9.500439997283712,82.4,70.0,33.1,0.3706606942889137,1.929496763339617,18.33106822506116,53.16956521739134
2025-11-03,26009,1,04:35:49,06:58 AM,11:34 AM,4.3,0.0,11.6,31.65,47.2,94.30000000000001,48.85529487500025,10.62777579007801,84.4,61.2,41.5,0.3055964653902798,1.930189966947764,20.51362620097891,51.38411552346567
2025-11-03,26009,2,03:38:09,01:52 PM,05:30 PM,3.3,0.0,6.15,9.15,38.90000000000001,57.90000000000001,33.08800574999623,9.100528741690459,82.0,68.0,42.5,0.4233067729083665,1.749878806159438,15.92482236992895,55.15342465753425
2025-11-03,26009,3,03:31:10,06:33 PM,10:05 PM,2.75,0.0,6.25,18.0,32.8,60.0,33.01033437499427,9.379416239145966,66.8,52.0,39.2,0.3951612903225807,1.817612609384857,17.0481452249408,52.2754716981133
2025-11-03,26010,1,04:33:26,05:53 AM,10:27 AM,4.85,0.0,10.95,23.65,43.50000000000001,84.5,42.02021387499553,9.220576005728631,85.6,66.8,41.6,0.3298969072164949,2.010936932671882,18.54199683042789,48.93846153846142
2025-11-03,26010,2,02:06:39,11:29 AM,01:36 PM,2.35,0.0,2.949999999999999,5.0,19.10000000000001,29.40000000000001,19.88387200000579,9.419915673117629,66.8,60.0,20.0,0.4048582995951416,1.478585257438362,13.92814844058429,56.22204724409432
2025-11-03,26010,3,03:03:57,03:56 PM,07:00 PM,3.65,0.0,6.850000000000001,16.45,32.3,59.7,27.34032400000433,8.917746344116662,77.2,64.0,30.9,0.3410596026490066,2.183587875549337,19.47268279423756,53.66847826086956
2025-11-03,26010,4,03:37:09,07:36 PM,11:13 PM,3.25,0.0,7.25,22.0,36.40000000000001,69.6,31.92293512500328,8.820520872669569,63.6,47.2,31.0,0.3081510934393638,2.180250648239628,19.230946350449,52.10691244239626
