Date,Bus,ID,Type,Duration,SOC Start [%],SOC End [%],Air Compressor Energy Consumption [kWh],Rear HVAC Energy Consumption [kWh],LV Access. Energy Consumption [kWh],Electric Heater Energy Consumption[kWh],Energy Transferred [kWh]
2024-05-01,26004,1,Depot,05:45:45,93.6,93.6,0.15,0.0,5.4,0.0,2.0
2024-05-01,26004,2,Depot,01:26:26,80.4,92.0,0.0,0.0,1.4,0.0,58.6
2024-05-01,26004,3,Depot,05:13:36,93.2,94.0,0.1,0.0,4.75,0.0,2.9
2024-05-01,26005,1,Depot,06:22:57,94.0,93.6,0.0,0.0,6.100000000000001,0.0,1.899999999999991
2024-05-01,26005,2,Depot,04:39:25,70.0,93.6,0.0,0.0,4.55,0.0,111.5
2024-05-01,26006,1,Depot,06:22:59,93.6,93.6,0.5499999999999999,0.0,8.799999999999999,0.0,2.2
2024-05-01,26006,2,Depot,08:37:40,72.4,93.6,0.55,0.0,11.75,0.0,104.9
2024-05-01,26008,1,Depot,05:42:45,93.6,93.6,0.0,0.0,5.300000000000001,0.0,2.900000000000006
2024-05-01,26008,2,Depot,04:33:24,68.4,93.6,0.0,0.0,4.2,0.0,116.1
2024-05-01,26009,1,Depot,05:44:46,94.0,93.6,0.0,0.0,7.550000000000001,0.0,3.400000000000006
2024-05-01,26009,2,Depot,04:18:18,56.0,94.0,0.0,0.0,6.0,0.0,176.8
2024-05-01,26010,1,Depot,05:45:45,93.6,93.6,0.09999999999999999,0.0,5.35,0.0,1.400000000000006
2024-05-01,26010,2,Depot,01:12:23,80.0,92.8,0.0,1.1,1.7,0.0,62.5
2024-05-01,26010,3,Depot,02:22:44,74.4,93.6,0.05,0.0,2.2,0.0,93.8
2024-05-01,26011,1,Depot,05:46:46,93.2,93.6,0.0,0.0,10.35,0.1999999999999993,1.099999999999994
2024-05-01,26011,2,Depot,00:26:08,77.6,87.6,0.0,2.05,1.05,0.0,49.1
2024-05-01,26013,1,Depot,05:42:44,93.6,93.6,0.05,0.0,5.25,0.0,2.4
2024-05-01,26013,2,Depot,00:58:18,56.4,81.6,0.0,0.0,0.95,0.0,119.0
2024-05-01,26013,3,Depot,02:37:49,82.4,94.0,0.05,0.0,2.65,0.0,49.60000000000001
2024-05-01,26014,1,Depot,05:29:42,56.8,94.0,0.0,0.0,8.45,0.0,141.9
2024-05-01,26014,2,Depot,00:12:04,71.2,76.8,0.0,0.0,0.35,0.0,20.8
2024-05-01,26014,3,Depot,04:22:21,65.2,93.6,0.0,0.35,7.75,0.0,134.8
2024-05-01,26016,1,Depot,00:07:48,78.8,81.6,0.0,0.0,0.15,0.0,14.6
2024-05-01,26016,2,Depot,00:21:37,92.8,94.0,0.0,0.0,0.3,0.0,4.700000000000003
2024-05-01,26016,3,Depot,01:13:23,65.6,90.0,0.0,0.0,1.5,0.0,119.3
2024-05-01,26018,1,Depot,05:07:35,37.2,93.6,0.05,0.0,5.8,0.0,192.1
2024-05-02,26003,1,Depot,00:10:03,53.6,59.2,0.0,0.0,0.25,0.0,19.8
2024-05-02,26003,2,Depot,00:42:13,44.0,65.2,0.0,0.0,0.85,0.0,84.4
2024-05-02,26003,3,Depot,01:05:20,58.4,82.4,0.0,2.8,1.6,0.0,113.3
2024-05-02,26004,1,Depot,07:13:13,94.0,94.0,0.2,0.0,6.649999999999999,0.0,2.3
2024-05-02,26004,2,Depot,00:16:05,86.0,90.4,0.0,0.05,0.4,0.0,22.8
2024-05-02,26004,3,Depot,00:48:14,87.2,92.8,0.0,1.3,1.4,0.0,27.6
2024-05-02,26004,4,Depot,00:29:09,93.2,93.2,0.05,1.35,0.9500000000000002,0.0,1.5
2024-05-02,26004,5,Depot,02:31:46,71.6,93.6,0.05,0.0,2.35,0.0,105.6
2024-05-02,26005,1,Depot,01:37:30,93.6,93.6,0.0,0.0,1.600000000000001,0.0,0.1999999999999886
2024-05-02,26005,2,Depot,09:10:48,76.8,93.6,0.0,0.0,8.8,0.0,85.1
2024-05-02,26006,1,Depot,01:33:29,93.6,93.6,0.09999999999999998,0.0,2.1,0.0,0.7000000000000028
2024-05-02,26006,2,Depot,08:40:41,70.8,93.6,0.45,0.0,8.2,0.0,113.5
2024-05-02,26008,1,Depot,08:28:35,93.6,93.6,0.05,0.0,7.85,0.0,3.199999999999989
2024-05-02,26008,2,Depot,04:46:28,72.4,93.6,0.0,0.0,4.35,0.0,107.2
2024-05-02,26009,1,Depot,05:44:46,94.0,93.6,0.0,0.0,7.649999999999999,0.0,4.900000000000006
2024-05-02,26009,2,Depot,00:33:10,72.8,86.8,0.0,0.0,0.85,0.0,70.2
2024-05-02,26010,1,Depot,05:43:45,93.6,93.6,0.05,0.0,5.25,0.0,1.799999999999997
2024-05-02,26010,2,Depot,00:53:16,83.6,92.8,0.05,1.35,1.4,0.0,44.7
2024-05-02,26010,3,Depot,04:29:22,77.2,93.6,0.05,0.0,4.0,0.0,81.1
2024-05-02,26011,1,Depot,05:28:41,61.6,93.6,0.0,0.0,5.2,0.0,156.2
2024-05-02,26011,2,Depot,00:48:15,77.6,91.2,0.0,0.0,0.85,0.0,67.0
2024-05-02,26011,3,Depot,04:30:22,67.6,93.6,0.0,0.0,4.4,0.0,124.8
2024-05-02,26013,1,Depot,05:40:44,94.0,93.6,0.0,0.0,5.350000000000001,0.0,4.099999999999994
2024-05-02,26013,2,Depot,00:18:06,66.8,75.2,0.0,0.0,0.35,0.0,38.4
2024-05-02,26013,3,Depot,00:20:06,60.4,68.0,0.0,0.0,0.35,0.0,34.5
2024-05-02,26013,4,Depot,03:04:57,68.8,93.6,0.05,0.0,2.75,0.0,117.2
2024-05-02,26014,1,Depot,01:51:35,93.6,93.6,0.0,0.0,3.549999999999999,0.05,0.1999999999999886
2024-05-02,26014,2,Depot,04:57:31,61.6,93.6,0.0,0.8,8.0,0.0,147.8
2024-05-02,26016,1,Depot,00:20:50,76.0,83.6,0.0,0.0,0.35,0.0,36.7
2024-05-02,26016,2,Depot,01:48:13,89.6,93.6,0.0,0.0,1.8,0.0,22.60000000000001
2024-05-02,26016,3,Depot,00:42:14,72.8,90.0,0.0,0.0,0.95,0.0,82.7
2024-05-02,26016,4,Depot,04:39:25,68.8,93.6,0.0,0.0,4.45,0.0,127.3
2024-05-02,26018,1,Depot,05:21:39,93.6,93.6,0.05,0.0,4.800000000000001,0.0,2.0
2024-05-02,26018,2,Depot,00:19:06,65.2,74.4,0.0,0.0,0.3,0.0,34.7
2024-05-03,26003,1,Depot,02:14:40,70.4,92.4,0.0,0.0,2.2,0.0,636.9
2024-05-03,26003,2,Depot,01:02:20,70.4,90.4,0.0,0.0,1.1,0.0,91.2
2024-05-03,26004,1,Depot,05:51:47,93.6,93.6,0.09999999999999999,0.0,5.35,0.0,2.200000000000003
2024-05-03,26004,2,Depot,00:41:13,82.4,92.0,0.05,0.0,0.7,0.0,48.0
2024-05-03,26005,1,Depot,05:42:45,93.6,93.6,0.0,0.0,5.4,0.0,1.700000000000003
2024-05-03,26005,2,Depot,09:07:47,77.6,94.0,0.0,0.0,8.85,0.0,80.0
2024-05-03,26006,1,Depot,05:41:46,93.6,93.6,0.45,0.0,5.15,0.0,1.5
2024-05-03,26006,2,Depot,08:08:31,69.2,94.0,0.65,0.0,11.4,0.0,121.7
2024-05-03,26008,1,Depot,05:59:50,93.6,93.6,0.05,0.0,5.5,0.0,1.5
2024-05-03,26008,2,Depot,01:58:37,78.8,93.6,0.05,0.0,2.2,0.0,73.19999999999999
2024-05-03,26008,3,Depot,04:44:27,80.0,93.6,0.0,0.0,7.4,3.65,68.4
2024-05-03,26009,1,Depot,05:06:36,61.6,93.6,0.0,0.0,7.15,0.0,153.2
2024-05-03,26009,2,Depot,02:32:48,62.0,93.6,0.0,0.0,4.15,0.0,139.2
2024-05-03,26010,1,Depot,00:19:06,78.8,86.0,0.0,0.0,0.35,0.0,34.5
2024-05-03,26010,2,Depot,02:22:44,64.8,93.2,0.05,0.0,2.25,0.0,137.4
2024-05-03,26011,1,Depot,05:26:40,93.6,93.6,0.05,0.0,4.949999999999999,0.0,1.0
2024-05-03,26011,2,Depot,00:22:06,81.6,88.8,0.0,0.0,0.35,0.0,33.59999999999999
2024-05-03,26011,3,Depot,04:00:14,78.8,93.6,0.0,0.0,4.05,0.0,68.6
2024-05-03,26013,1,Depot,05:23:39,93.6,93.6,0.05,0.0,4.75,0.0,1.0
2024-05-03,26013,2,Depot,00:30:09,67.2,80.4,0.0,0.0,0.55,0.0,63.3
2024-05-03,26013,3,Depot,04:49:29,72.8,93.6,0.05,0.0,4.7,1.55,98.5
2024-05-03,26014,1,Depot,05:57:49,93.6,93.6,0.0,0.0,9.000000000000002,0.0,1.399999999999977
2024-05-03,26014,2,Depot,04:45:28,66.4,93.6,0.0,0.0,7.4,0.0,130.2
