Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Regen Ratio,Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2024-05-01,26004,1,02:39:48,07:26 AM,10:06 AM,1.75,0.1,4.3,8.85,19.6,34.0,20.73763575399971,7.786346340675736,92.8,85.6,17.9,0.3448940269749518,1.639531159835438,12.76595744680851,59.95006247639658
2024-05-01,26004,2,02:36:49,10:55 AM,01:32 PM,0.8000000000000003,2.15,3.75,0.0,13.0,19.6,13.20413374999953,5.052065203528356,85.6,80.4,11.5,0.3697749196141479,1.484383630997429,7.499202890849188,73.41077690124497
2024-05-01,26005,1,00:50:16,06:50 AM,07:40 AM,0.55,0.0,0.9999999999999999,0.0,8.3,9.6,7.610552007998194,9.084213272146386,93.2,91.2,6.1,0.3885350318471337,1.261406530027129,11.45888594164456,55.72400054931636
2024-05-01,26005,2,00:16:05,08:57 AM,09:13 AM,0.2,0.0,0.3499999999999999,0.0,3.399999999999999,3.8,4.118446987995412,15.36415456661501,90.0,89.2,2.600000000000001,0.4062500000000001,0.9226778955942296,14.17616580310881,61.39399986267088
2024-05-01,26005,3,01:29:28,11:12 AM,12:41 PM,0.6,3.8,3.05,0.0,7.600000000000001,15.1,8.388508500000171,5.625676341281784,88.8,85.6,7.1,0.3198198198198198,1.800081623568682,10.12667660208644,72.70340019226084
2024-05-01,26005,4,05:48:47,01:27 PM,07:15 PM,4.9,14.7,11.95,0.0,39.50000000000001,72.3,42.09664250800051,7.241740958035162,85.2,70.0,42.9,0.3723958333333334,1.717476636913723,12.43752090600659,77.52272418449674
2024-05-01,26006,1,08:21:35,06:53 AM,03:15 PM,7.05,6.8,19.05,8.0,60.59999999999999,101.5,61.74936449599954,7.386533051523454,93.6,72.4,58.5,0.365625,1.643741613026248,12.14155175278285,68.2708999862666
2024-05-01,26008,1,06:12:54,09:02 AM,03:15 PM,3.7,4.3,8.55,0.0,50.3,65.8,55.69223998799498,8.960939660176184,93.2,79.2,52.3,0.4428450465707028,1.181493149030886,10.58728881737731,72.03316127407889
2024-05-01,26008,2,02:29:46,04:34 PM,07:04 PM,1.7,5.05,5.4,0.0,25.6,39.8,22.36935599999924,8.961682795459302,77.2,68.4,25.6,0.3914373088685015,1.77921975044795,15.94480302693078,77.09491997528066
2024-05-01,26009,1,04:25:22,06:47 AM,11:12 AM,3.35,0.0,7.999999999999999,3.2,49.9,63.59999999999999,52.73699951200251,11.92395416676354,92.0,78.8,44.4,0.4111111111111111,1.205984424379797,14.38010300213541,61.37783431646945
2024-05-01,26009,2,01:22:25,12:21 PM,01:43 PM,0.9000000000000004,0.45,2.6,0.0,12.39999999999999,16.2,15.22358949999762,11.08289629929048,76.8,73.2,13.5,0.4545454545454545,1.064137994525046,11.79373104145602,75.14231218085241
2024-05-01,26009,3,04:16:20,02:54 PM,07:11 PM,2.65,11.45,9.95,0.0,44.80000000000001,70.20000000000002,41.08753600399723,9.61736863552601,72.0,56.0,43.8,0.3842105263157894,1.708547331559881,16.43172951885566,77.59962542057012
2024-05-01,26010,1,04:30:23,07:46 AM,12:16 PM,3.3,2.25,9.05,6.85,38.9,61.40000000000001,43.03118449199974,9.54892832220915,93.2,80.0,42.4,0.4084778420038535,1.426872179440363,13.62510016643038,65.17553366343176
2024-05-01,26010,2,07:30:18,01:46 PM,09:16 PM,5.2,8.0,15.05,0.0,55.7,89.2,60.58367250000083,8.0724413724185,92.8,74.4,61.8,0.4092715231788079,1.472343889353997,11.88540972684877,75.15979063548075
2024-05-01,26011,1,04:02:14,07:57 AM,11:59 AM,2.65,0.0,5.700000000000001,0.0,46.7,54.0,40.00013675399896,9.907836267675538,92.0,80.8,41.7,0.4357366771159875,1.349995384568315,13.37553323242053,64.90705000585761
2024-05-01,26011,2,01:07:21,12:22 PM,01:29 PM,0.5,0.0,2.75,0.0,11.2,14.8,12.50571274599861,11.14094676703662,80.8,77.6,9.9,0.4008097165991902,1.183459135884557,13.18485523385301,75.03852839189426
2024-05-01,26011,3,04:39:26,02:37 PM,07:16 PM,3.7,7.05,8.399999999999999,0.0,42.7,64.8,45.82486850799978,9.839528010783683,87.6,74.0,47.0,0.4203935599284437,1.414079344028836,13.91387331504235,77.54000032486431
2024-05-01,26011,4,04:15:18,07:43 PM,11:58 PM,2.8,0.0,6.350000000000001,10.2,33.5,51.90000000000001,40.93219325400059,9.619786898707543,74.0,62.4,36.5,0.4128959276018099,1.267950624535064,12.19741480611046,62.9771526875213
2024-05-01,26013,1,04:10:16,06:41 AM,10:52 AM,2.75,0.0,6.749999999999999,8.5,39.2,54.4,41.94254250000085,10.05548435002684,92.0,80.4,33.4,0.3804100227790433,1.297012454597832,13.0420884389984,60.49155228729228
2024-05-01,26013,2,03:08:58,11:54 AM,03:03 PM,2.1,5.25,6.25,0.0,28.2,40.40000000000001,31.84402100800071,10.11099626290374,78.4,69.6,25.8,0.3897280966767371,1.268684001616807,12.82765919915329,76.17828492664174
2024-05-01,26013,3,04:29:22,03:42 PM,08:11 PM,3.0,6.5,8.900000000000002,0.0,39.3,58.7,43.41891999599829,9.671334734908665,69.6,56.4,34.59999999999999,0.3708467309753483,1.351945188996182,13.07511446603143,76.0128774224603
