Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2023-04-01,26003,1,02:38:48,10:33 AM,01:11 PM,2.2,0.0,6.0,15.85,35.0,59.0,30.44717900000023,11.50397191435777,92.4,80.0,21.8,1.937782150523684,22.29219143576826,63.12290635738728
2023-04-01,26003,2,03:02:56,01:37 PM,04:40 PM,2.9,0.0,4.5,0.0,38.40000000000001,43.99999999999999,35.18513287499991,11.5403132607507,80.0,70.4,28.5,1.250528174962878,14.43148688046647,68.67357322192552
2023-04-01,26003,3,00:22:07,05:33 PM,05:55 PM,0.1999999999999984,0.0,0.5000000000000089,0.0,13.99999999999986,14.40000000000001,10.79632112499985,29.28919069329273,70.4,67.2,5.100000000000016,1.33378767019587,39.06556141672948,69.84069598654045
2023-04-01,26009,1,00:30:10,07:39 PM,08:09 PM,0.5500000000000002,0.1,1.20000000000001,4.899999999999999,3.000000000000001,9.600000000000001,3.805897374999859,7.569740635358835,92.0,89.6,4.199999999999998,2.522401172207214,19.09392265193371,55.53877393661007
2023-04-02,26009,1,00:18:05,08:18 AM,08:36 AM,0.3,0.0,1.15,6.1,7.399999999999999,17.0,5.203982125000039,17.26666880184345,87.6,83.6,2.8,3.266729130050552,56.40552995391705,39.39800024032593
2023-04-02,26009,2,00:24:08,09:55 AM,10:19 AM,0.25,0.0,0.8500000000000005,3.699999999999999,8.299999999999999,13.0,5.903024500000129,14.67602776243126,78.8,75.2,3.4,2.202260891852934,32.32044198895028,42.20600013732908
2023-04-02,26009,3,05:40:33,11:40 AM,05:21 PM,5.2,0.0,9.45,0.0,73.80000000000001,86.79999999999998,61.74874312500015,10.87923825429455,72.0,47.2,51.1,1.405696628096344,15.2929085303186,49.25334696981977
2023-04-03,26003,1,00:22:06,01:14 PM,01:36 PM,0.2,0.0,0.8999999999999999,5.2,15.0,23.6,10.87399249999999,29.52215158371037,63.6,58.4,4.5,2.170316008586545,64.07239819004525,59.21599979400637
2023-04-03,26003,2,05:33:44,02:10 PM,07:44 PM,5.1,0.0,7.250000000000007,0.0,56.19999999999999,64.7,49.32132312499971,8.867197525469384,57.6,39.6,51.5,1.311805845841253,11.63204155013983,61.41075614723007
2023-04-03,26003,3,01:05:20,08:06 PM,09:11 PM,0.8999999999999995,0.0,1.45000000000001,0.0,9.599999999999994,11.49999999999999,10.01960737500031,9.20168024234722,39.2,36.0,10.2,1.147749564388459,10.56122448979591,55.18181833787392
2023-04-03,26005,1,04:28:22,06:54 AM,11:22 AM,5.05,0.2,11.9,33.25,65.6,120.7,44.58336925000003,9.967713905104963,93.2,67.6,58.4,2.707287538615084,26.98546764377096,42.52261186325504
2023-04-03,26005,2,00:22:07,11:41 AM,12:03 PM,0.2499999999999991,0.0,0.5500000000000114,0.0,3.999999999999979,4.700000000000003,2.563155374999951,6.953548869630613,67.6,66.4,2.20000000000001,1.833677367295805,12.75056518462699,55.99008755061936
2023-04-03,26009,1,03:28:06,08:00 AM,11:28 AM,3.35,0.0,7.450000000000095,24.85,30.1,67.8,26.95196712500001,7.770869906295053,91.6,74.0,25.8,2.515586327541574,19.5482940893801,45.76818259129144
2023-04-03,26009,2,04:38:26,03:35 PM,08:13 PM,4.549999999999992,0.0,8.55000000000011,14.84999999999998,37.20000000000003,63.70000000000005,37.28225999999995,8.034007901352798,71.6,54.0,38.70000000000006,1.708587408595942,13.72680474081169,60.62955185996895
2023-04-04,26003,1,04:48:01,06:25 AM,11:13 AM,4.049999999999999,0.0,8.050000000000086,17.85,59.8,86.39999999999996,46.29213949999985,9.643637648284212,90.4,67.2,44.1,1.866407578763998,17.99895839361147,53.04124165785964
2023-04-04,26003,2,03:05:58,12:01 PM,03:07 PM,2.849999999999993,6.4,7.100000000000099,5.400000000000009,41.69999999999989,61.89999999999995,34.09773362499982,11.00124045975975,66.8,49.2,34.70000000000002,1.815369921085196,19.97132102527333,72.90935449907865
2023-04-04,26005,1,04:58:32,06:20 AM,11:19 AM,5.649999999999999,0.0,8.5,17.6,52.5,81.80000000000001,46.74449758799983,9.394829796605594,91.6,74.4,47.0,1.749938585734197,16.44037516748549,53.27841567961185
2023-04-04,26009,1,04:20:25,11:12 AM,03:32 PM,3.55,6.2,9.350000000000106,0.0,45.90000000000001,64.9,44.35035512500008,10.21832182080002,92.8,75.6,41.5,1.463347921726476,14.95296,72.01524591299233
2023-04-04,26009,2,02:21:47,04:43 PM,07:05 PM,1.9,2.799999999999999,5.0,0.0,27.40000000000001,37.2,26.17525337500001,11.07686753849771,72.8,62.4,26.59999999999999,1.421189681225005,15.74232984600917,74.07956312206423
2023-04-05,26003,1,04:33:23,06:21 AM,10:55 AM,3.75,0.0,8.65,29.75,56.7,95.4,44.58336925000003,9.784803346948737,91.2,70.8,45.1,2.139811360264118,20.93763335975127,52.26905468951219
2023-04-05,26003,2,03:00:55,12:00 PM,03:01 PM,2.949999999999993,0.0,5.750000000000082,14.79999999999996,42.89999999999986,64.10000000000011,33.86471949999986,11.23104469829567,68.8,54.4,32.30000000000003,1.892825363576402,21.25840626439432,51.40579059242548
