Date,Bus,ID,Duration,Start Time,End Time,Air Compressor Energy [kWh],Rear HVAC Energy [kWh],LV Access. Energy [kWh],Electric Heater Energy [kWh],Traction Energy [kWh],Energy Used [kWh],Mileage [miles],Average Speed [mph],SOC Start [%],SOC End [%],Regen Energy [kWh],Regen Ratio,Net Energy Consumption [kWh/mile],Average Power Consumption [kW],Average Temperature [°F]
2024-11-01,26003,1,06:00:51,07:17 AM,01:18 PM,5.1,4.0,12.7,17.45,39.3,78.2,36.35020350000559,6.044096466676834,92.0,75.6,38.2,0.3281786941580756,2.151294696327848,13.00263267285576,69.37290017127985
2024-11-01,26003,2,04:41:26,02:13 PM,06:54 PM,4.0,0.0,5.650000000000002,0.0,49.10000000000001,56.49999999999999,53.12722049999866,11.32642388961241,75.2,62.4,46.2,0.4498539435248297,1.063484960595697,12.04548146393462,76.27039157147935
2024-11-01,26005,1,08:42:40,10:17 AM,07:00 PM,7.3,8.25,16.0,0.0,73.30000000000001,106.4,88.00104650400317,10.10216095071465,90.8,68.0,65.0,0.3792298716452743,1.209076530642847,12.21428571428571,74.7274053760318
2024-11-01,26006,1,13:34:12,06:54 AM,08:28 PM,11.1,7.75,29.95,3.4,110.9,165.4,119.5368674960009,8.808906963596236,92.0,56.4,105.3,0.38899150350942,1.383673534907826,12.18865143699337,72.00366694132518
2024-11-01,26006,2,01:05:20,09:06 PM,10:11 PM,1.0,0.0,1.850000000000001,0.0,9.700000000000003,12.70000000000002,12.50447000399799,11.48369694244714,56.0,53.2,9.899999999999991,0.4380530973451322,1.015636807952637,11.66326530612247,62.69572673277428
2024-11-01,26008,1,03:06:58,12:04 AM,03:11 AM,2.4,1.35,5.85,5.600000000000001,25.6,39.90000000000001,30.8349145040047,9.89531932736824,82.8,74.4,28.2,0.4140969162995594,1.293987696797991,12.80442146550187,68.92435239700049
2024-11-01,26008,2,05:47:46,06:59 AM,12:46 PM,4.35,1.1,7.800000000000001,0.0,35.1,47.1,39.84479400399869,6.874401342585799,92.8,82.8,32.6,0.4090338770388959,1.182086673487964,8.126138215278443,68.58518166225987
2024-11-01,26008,3,01:30:27,01:15 PM,02:45 PM,1.25,2.4,2.85,0.0,11.7,18.0,13.28242649599997,8.810896514759516,82.4,78.8,11.8,0.3959731543624161,1.355174071952947,11.94029850746269,77.75461594298646
2024-11-01,26008,4,03:45:09,03:15 PM,07:00 PM,2.6,3.8,7.0,0.0,36.9,51.5,39.14637300000322,10.43207808128001,78.4,67.2,34.3,0.3997668997668998,1.315575264150162,13.72418387741506,75.4020802307129
2024-11-01,26008,5,01:39:30,07:35 PM,09:15 PM,1.5,0.1000000000000005,2.5,0.0,16.29999999999998,19.60000000000001,18.40749450399744,11.0999966858276,66.8,62.4,17.5,0.4716981132075471,1.064783694257988,11.81909547738694,65.99749969100947
